n,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
1000.0,Independent DCF-LS,0.14907883514724163,0.010699910099406091,6,0.03964239574986089,0.007913006917647035,6,0.2627287869969274,0.015651778636754612,6,0.9472442674946299,0.004218980232612057,6,0.02494139999999989,0.0082706742327334,6,0.004491433333333387,0.0019093560534029252,6,0.004078583333333367,0.0014922397266079108,6,26,0.0,6,0.00436822000619956,0.0032304715465581242,0.0063898118711738835,0.0017223914674647036,0.003376488616496933,0.0007794913446885726,0.0006092043173499419,0.0
1000.0,MO-RF,0.17599870131192233,0.0106469493953921,6,0.046346781440748365,0.006271496484931053,6,0.3096523945940349,0.022290560298534556,6,0.9380147165940103,0.004135754525960698,6,0.10000749999999996,0.011589465276534414,6,0.0,0.0,6,0.10000749999999996,0.011589465276534414,6,0,0.0,6,0.004346598889324085,0.002560327718623229,0.00910008313535839,0.0016884147150016393,0.004731379386535476,0.0,0.004731379386535476,0.0
1000.0,MO-Ridge,1.776640745961939,0.09437835565326037,6,0.6593003967911559,0.044858206523153525,6,2.8874937573538975,0.17003157472644934,6,0.4274908762263196,0.016392195780369365,6,0.0009460333333333922,9.437049680203903e-05,6,0.0,0.0,6,0.0009460333333333922,9.437049680203903e-05,6,0,0.0,6,0.038529802352234015,0.018313286126352336,0.06941509970695152,0.006692085904284743,3.852659398965789e-05,0.0,3.852659398965789e-05,0.0
1000.0,PLS,1.8019925041912634,0.0902959031783533,6,0.668432183064065,0.046983235053608394,6,2.928649486791578,0.16552596863480948,6,0.41931187827424116,0.014435077910346593,6,0.014036349999999994,0.002254315354824974,6,0.0,0.0,6,0.014036349999999994,0.002254315354824974,6,0,0.0,6,0.03686314810845323,0.019180825391097472,0.06757569372253598,0.005893095879611669,0.0009203203897737325,0.0,0.0009203203897737325,0.0
1000.0,SC-DCF-LS,0.14907883514724232,0.010699910099404426,6,0.039642395749860844,0.007913006917647401,6,0.2627287869969288,0.015651778636751896,6,0.9472442674946295,0.0042189802326113085,6,0.00949298333333326,0.012601374221475552,6,0.0008288166666666023,0.0004797308054176863,6,0.004781133333333372,0.010154503779046335,6,26,0.0,6,0.00436822000619888,0.003230471546558274,0.006389811871172774,0.001722391467464398,0.005144489483412788,0.00019584928119462257,0.004145558808304503,0.0
1000.0,kNN,0.2254967843271168,0.021090760435971256,6,0.06966274981343734,0.009851509784902256,6,0.3895404571824785,0.04316488389323701,6,0.9223658347523251,0.007502715854806348,6,0.006508916666666531,0.0017009994713893248,6,0.0,0.0,6,0.006508916666666531,0.0017009994713893248,6,0,0.0,6,0.008610266892568144,0.004021862028174365,0.01762199005748515,0.0030629709215608124,0.0006944301262746266,0.0,0.0006944301262746266,0.0
2500.0,Independent DCF-LS,0.12868736129968075,0.0026724057066721046,6,0.029082490547396037,0.0010443740670818401,6,0.23035564813540013,0.006176820451361118,6,0.9538275497310355,0.0010565510503758658,6,0.08325936666666707,0.013009589210065653,6,0.013204383333333217,0.0030962346399562384,6,0.009111133333333429,0.0013555642141436356,6,41,0.0,6,0.0010910050611747585,0.00042636392749095304,0.0025216763897704035,0.00043133516010374605,0.005311142554646421,0.0012640324986371288,0.0005534067730381292,0.0
2500.0,MO-RF,0.147471079166705,0.003439830106022024,6,0.03452259952375458,0.0016013736514831963,6,0.2627250851803678,0.005421485682307013,6,0.9472984081193014,0.0019297341156983105,6,0.3597402999999999,0.06270022394582005,6,0.0,0.0,6,0.3597402999999999,0.06270022394582005,6,0,0.0,6,0.0014043047602696201,0.000653758055611889,0.002213312261576148,0.0007878106537836298,0.025597259237582402,0.0,0.025597259237582402,0.0
2500.0,MO-Ridge,1.7267124835627348,0.03857656670711448,6,0.6389951263596088,0.026708293056660684,6,2.791752686294649,0.06431281339767544,6,0.4364789322438262,0.004633226228181306,6,0.0020516000000001533,0.0007402768968433106,6,0.0,0.0,6,0.0020516000000001533,0.0007402768968433106,6,0,0.0,6,0.01574881741014466,0.010903614981589588,0.02625559612452243,0.0018915066869873505,0.00030221677760617504,0.0,0.00030221677760617504,0.0
2500.0,PLS,1.7317979834993258,0.03893752615488195,6,0.6405838911719227,0.026800907514975325,6,2.799980082539431,0.06433994510436002,6,0.43482570439923446,0.004438216675909295,6,0.022625616666666737,0.007323153382912684,6,0.0,0.0,6,0.022625616666666737,0.007323153382912684,6,0,0.0,6,0.01589617848762251,0.010941424675868776,0.02626667259739377,0.0018118943706481785,0.0029896648493787587,0.0,0.0029896648493787587,0.0
