config,center_rule,feature_mode,max_k,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
AFPC-full-K120,afpc,full,120.0,3.5825789386213445,0.4763352717873969,5,0.5331861506114585,0.049588532207257036,5,5.588902109078548,0.7724445491805874,5,0.71954414382778,0.038293950003670765,5,0.12746318000001794,0.022021056025197546,5,0.055906439999989746,0.014966022248849329,5,0.00462390000002415,0.0011087170581326458,5,58,0.0,5,0.21302360955949143,0.022176665783972885,0.34544770416339454,0.01712557506703723,0.009848115641734606,0.006693008620240274,0.0004958333419596364,0.0
AFPC-full-K40,afpc,full,40.0,4.728067763510776,0.3062592521226013,5,0.5903995148351135,0.014035411030314922,5,7.358368783519896,0.5192905693834331,5,0.6305757314899781,0.025250222779328414,5,0.09655308000003515,0.011942043144109724,5,0.04301754000000528,0.007820448306064981,5,0.004231800000025032,0.000779331832366633,5,40,0.0,5,0.13696330129687664,0.006276826631186905,0.2322338026431855,0.0112922429163184,0.005340644052092932,0.0034974108053768757,0.00034852779084025245,0.0
AFPC-full-K80,afpc,full,80.0,3.5825789386213445,0.4763352717873969,5,0.5331861506114585,0.049588532207257036,5,5.588902109078548,0.7724445491805874,5,0.71954414382778,0.038293950003670765,5,0.1391351400000076,0.033306795053889886,5,0.06102710000000115,0.019155340456791008,5,0.004901919999997517,0.0021312445277302627,5,58,0.0,5,0.21302360955949143,0.022176665783972885,0.34544770416339454,0.01712557506703723,0.01489525157063031,0.008566528678707313,0.0009531215281358606,0.0
AFPC-negdist-K80,afpc,negdist,80.0,5.670157152816506,0.4499772247531124,5,0.636350139349408,0.01698076423739895,5,8.817289686085811,0.7410547284017506,5,0.5572467587092265,0.036290585205406165,5,0.1319638800000348,0.053245095211138536,5,0.06343292000001384,0.028008618317128097,5,0.0027529800000138495,0.00035958257325812717,5,58,0.0,5,0.20123593257493208,0.007594028628944286,0.33140974955079167,0.01622964309250727,0.023811930472110856,0.012525834902588837,0.00016081021546589407,0.0
AFPC-tent-K80,afpc,tent,80.0,6.19513009098175,0.35766014028684434,5,0.6160344631382726,0.013410863472896925,5,9.619941485420199,0.6009181874102729,5,0.5159117907476054,0.028697800236912135,5,0.120040559999984,0.038264904335512384,5,0.05466028000000733,0.018733603998501325,5,0.0035879799999747773,0.0017487454351573937,5,58,0.0,5,0.159950477304699,0.005997520472473286,0.2687387831930657,0.01283404642688902,0.01711258544934642,0.008377922400842166,0.0007820627336708766,0.0
kmeans-full-K80,kmeans,full,80.0,3.1357173976700787,0.4395932142175003,5,0.48734985743789105,0.032854609593782495,5,4.894450854707032,0.7134651981387184,5,0.754437427638922,0.03502821588082501,5,0.3378500999999915,0.013609392699501868,5,0.2692692800000259,0.0140539188042385,5,0.003926439999986542,0.00024764238937151166,5,58,0.0,5,0.19659206188759154,0.014693028085182882,0.3190713365237062,0.01566509436801248,0.006086305441715108,0.006285103559307969,0.00011074904334903429,0.0
random-full-K80,random,full,80.0,3.903010556214249,0.37372711302442474,5,0.5216394255646999,0.03930544274374574,5,6.0849620318225375,0.6175852453103184,5,0.69471136107381,0.02949587030817766,5,0.12317572000001746,0.031058771610670152,5,0.05630879999998797,0.015425677636176862,5,0.004523980000021766,0.0013458928326391326,5,58,0.0,5,0.16713584595147213,0.017577928372148263,0.27619251808295103,0.013190954212920583,0.013889904923819817,0.006898572758697946,0.0006019015728421696,0.0
