method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
Independent DCF-LS,16094652.427173462,19878931.078349207,5,9406973.273217116,12090595.538360795,5,7.26181114592853,5.7388521745563414,5,0.1503154161838029,0.565582468309426,5,1.3068780000002789,0.18593585462071355,5,0.6166493000001083,0.09574060857365359,5,0.022582840000109173,0.0023972302836030583,5,80,0.0,5,8890128.242244404,5407078.702446081,2.5664927150260937,0.25293616920439943,0.08315304207728677,0.04281650179557772,0.0010720739743715075,0.0
MO-RF,6909494.452630326,2357156.780392582,5,3896760.786789267,1288727.4148061264,5,4.058157038770746,0.6344024236023317,5,0.5020542234685397,0.03148397857943388,5,5.536062019999986,0.45912642594622516,5,0.0,0.0,5,5.536062019999986,0.45912642594622516,5,0,0.0,5,1054152.5589164714,576336.4207948134,0.2837133888530861,0.014080063261152282,0.20532757973645652,0.0,0.20532757973645652,0.0
MO-Ridge,6596568.2997481655,2992895.894773982,5,3639188.714797786,1622842.4641705425,5,4.384421191060582,1.5410518625086767,5,0.4593633985744775,0.163418986264128,5,0.01038522000001194,0.002269084561490985,5,0.0,0.0,5,0.01038522000001194,0.002269084561490985,5,0,0.0,5,1338463.7340589361,725757.21333172,0.6891793442844121,0.07308319242013893,0.0010147654652378287,0.0,0.0010147654652378287,0.0
PLS,6963804.737893986,2929729.3117125053,5,3871137.4002197934,1618193.0505962982,5,4.47140795189361,1.0752439680728556,5,0.45181586114353484,0.09548016816969926,5,0.0519615000000158,0.006523409825382488,5,0.0,0.0,5,0.0519615000000158,0.006523409825382488,5,0,0.0,5,1310214.7793325665,723677.9323702159,0.4808637210015037,0.042700029306111845,0.002917357562929055,0.0,0.002917357562929055,0.0
SC-DCF-LS,16094652.42717273,19878931.07834702,5,9406973.273214888,12090595.538355054,5,7.261811145927541,5.73885217455431,5,0.15031541618396418,0.5655824683090888,5,0.1562898000000132,0.019598520008581696,5,0.07765870000000633,0.007902727263450838,5,0.0037617599999975938,0.0016510926951937427,5,80,0.0,5,8890128.242243426,5407078.702443513,2.566492715025185,0.2529361692042486,0.008764724599515687,0.003534207073743392,0.0007383911007213098,0.0
kNN,7098893.55210268,2527995.0139402174,5,4022473.153734123,1405231.9950689366,5,4.377188705479473,0.6613930946659774,5,0.46437731851303077,0.038859507780436724,5,0.01532775999999103,0.0011706810957851767,5,0.0,0.0,5,0.01532775999999103,0.0011706810957851767,5,0,0.0,5,1130553.7395901708,628438.8530263583,0.2957839839044158,0.017378500193847696,0.0005235445020299195,0.0,0.0005235445020299195,0.0
