method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
Independent DCF-LS,13.708903445666019,1.1941012448653328,5,8.039021644251736,0.7960094687390276,5,0.14474009157105266,0.012730924966643487,5,0.9274005886333285,0.006176557902973676,5,0.011640060000058839,0.0026550570688309368,5,0.0026232199999867587,0.00048066272686906984,5,0.0033638200000268626,0.000656024726722994,5,48,0.0,5,0.5340183111072011,0.3559862565667919,0.005693442728372816,0.002762240667602538,0.0011873776180094625,0.00021495890630593095,0.0002933831767746675,0.0
MO-RF,3.5870601783566096,0.46403926934991097,5,3.358908293002385,0.424364761692301,5,0.03941546753540008,0.005092604950494644,5,0.9802368928522455,0.0024921840746400764,5,0.0990700400000378,0.026778674017212345,5,0.0,0.0,5,0.0990700400000378,0.026778674017212345,5,0,0.0,5,0.2075246700991471,0.18978169087989671,0.002277482170371595,0.001114538600667524,0.011975787089958835,0.0,0.011975787089958835,0.0
MO-Ridge,18.92880019416318,1.8758364905292537,5,10.336400478373207,1.4358779833758666,5,0.19887826739759298,0.02055678833143903,5,0.900353855187823,0.00990460676699209,5,0.0010527400000000854,0.00025755731987254273,5,0.0,0.0,5,0.0010527400000000854,0.00025755731987254273,5,0,0.0,5,0.8388995814996103,0.6421441556447501,0.009193275221634429,0.004429474804279746,0.0001151831350675326,0.0,0.0001151831350675326,0.0
PLS,26.15438475115721,2.902946730762671,5,14.305554963371147,1.9090710309230337,5,0.2747336784817208,0.031079374066598185,5,0.8623180838856316,0.015494025284737882,5,0.0012162600000237944,0.00028217470292074873,5,0.0,0.0,5,0.0012162600000237944,0.00028217470292074873,5,0,0.0,5,1.2982372450092223,0.8537625198039013,0.013899118622211522,0.006929138756354888,0.00012619236345232053,0.0,0.00012619236345232053,0.0
SC-DCF-LS,13.708903445666412,1.1941012448649815,5,8.039021644251639,0.7960094687387776,5,0.14474009157105638,0.01273092496663961,5,0.9274005886333268,0.006176557902971985,5,0.006599960000016836,0.0017022960209977854,5,0.0011343400000214388,0.0005283598707412848,5,0.0015884200000073178,0.0005108611719534383,5,48,0.0,5,0.534018311107044,0.3559862565666801,0.005693442728371081,0.002762240667601782,0.0007612899241556915,0.000236289717512103,0.0002284640615106194,0.0
kNN,17.597554818870485,1.8431585510187831,5,9.511728269625996,1.2286447022085483,5,0.1846751599885588,0.019997407117164072,5,0.907460710400005,0.009755723562866775,5,0.0027543799999875775,0.0005513094339601196,5,0.0,0.0,5,0.0027543799999875775,0.0005513094339601196,5,0,0.0,5,0.8242855626776027,0.5494666148666599,0.008943112337543392,0.00436289221125331,0.0002465530741943517,0.0,0.0002465530741943517,0.0
