method,total_time,afpc_time,fit_time,K,cover_radius,active_pieces,summed_mse,max_coord_mse,std_summed_mse,avg_r2,experiment,n,m,rep,d,q,dict_time,estimated_peak_array_mib,coord_count_measured,timing_note,corr,dataset,config,center_rule,feature_mode,max_k,single_afpc_time,projected_afpc_time,actual_repeated_afpc_time,actual_projected_ratio,speedup_vs_shared
SC-DCF-LS,3.8896651000001157,1.1250244000000293,0.23397350000004735,80,,,,,,,large_scale_stress,50000.0,100,,50.0,161.0,2.530667200000039,241.02799224853516,100.0,actual shared fit,,,,,,,,,,,102.51849960038582
Independent DCF-LS,398.76262999999653,165.41885999999977,23.57656200000065,80,,,,,,,large_scale_stress,50000.0,100,,50.0,161.0,209.76720799999612,241.02799224853516,5.0,extrapolated from 5 actual coordinate fits,,,,,,,,,,,102.51849960038582
SC-DCF-LS,3.221178000000009,1.2039318000000776,0.22945499999991625,80,,,,,,,large_scale_stress,50000.0,200,,50.0,161.0,1.7877912000000151,279.2977981567383,200.0,actual shared fit,,,,,,,,,,,241.41589443365584
Independent DCF-LS,777.6435680000168,320.22650400000657,46.01805200000399,80,,,,,,,large_scale_stress,50000.0,200,,50.0,161.0,411.3990120000063,279.2977981567383,5.0,extrapolated from 5 actual coordinate fits,,,,,,,,,,,241.41589443365584
