method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
Independent DCF-LS,1161.684087681328,808.5740190350341,5,1056.3692109619114,803.8403875233867,5,6.860744438394387,4.500602512807669,5,-3.8770815920239934,5.5999530588785955,5,0.0013122800000928692,0.0011290391344248216,5,0.00014942000002520216,8.955859532476439e-05,5,0.0008678600000393999,0.0007234422354442199,5,4,0.0,5,361.605294280509,359.48834991241324,2.012730631668863,2.5043751420920843,0.0005049216507662848,4.0051821423113603e-05,0.0003235332032495367,0.0
MO-RF,760.3506666666667,341.77892123649997,5,677.8331527777777,365.8436213716269,5,4.899140093358738,3.491540265053593,5,-1.3200124093265306,1.0617439069809602,5,0.04010675999998057,0.005464520031361446,5,0.0,0.0,5,0.04010675999998057,0.005464520031361446,5,0,0.0,5,152.84818023227209,163.61024130433051,1.5614642757674935,0.4748263101411281,0.002443807650906695,0.0,0.002443807650906695,0.0
MO-Ridge,819.4816241235187,605.039694364755,5,734.8487750912057,603.8206812847538,5,4.780528934454409,3.0333759984293813,5,-2.1074129918666085,3.3796887475843107,5,0.001174120000041512,0.0005107873011465375,5,0.0,0.0,5,0.001174120000041512,0.0005107873011465375,5,0,0.0,5,270.58197713705766,270.03681791458894,1.3565669867608783,1.5114427564779294,0.0002284310254814628,0.0,0.0002284310254814628,0.0
PLS,884.052877879192,661.526233102479,5,791.5840721829169,657.4125084275606,5,5.009150294257727,2.912840722103139,5,-2.737823660678128,4.28844461941231,5,0.001286060000006728,0.00047348993967650843,5,0.0,0.0,5,0.001286060000006728,0.00047348993967650843,5,0,0.0,5,295.8435252233029,294.00381162053577,1.3026619724504387,1.9178507373498277,0.0002117511383557895,0.0,0.0002117511383557895,0.0
SC-DCF-LS,1161.6840876813278,808.5740190350339,5,1056.3692109619112,803.8403875233865,5,6.860744438394387,4.500602512807671,5,-3.877081592023994,5.599953058878594,5,0.0006152400000701164,0.00020318632577492164,5,3.874000003634137e-05,8.0161087505521e-06,5,0.00044950000001335865,0.000206696105447172,5,4,0.0,5,361.60529428050893,359.4883499124132,2.012730631668864,2.5043751420920835,9.086768730622847e-05,3.5849128162530796e-06,9.243730849286822e-05,0.0
kNN,834.6625,492.73268585210707,5,744.690625,501.32819456618654,5,5.332222184847663,4.086034775221523,5,-1.6222423064401954,1.8368499155371485,5,0.0011359999999967841,0.0002549279996693876,5,0.0,0.0,5,0.0011359999999967841,0.0002549279996693876,5,0,0.0,5,220.35675606027203,224.20078441744676,1.8273303031646797,0.8214642551211622,0.00011400726732575891,0.0,0.00011400726732575891,0.0
