experiment,dataset,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
real_atp1d,ATP1d,Independent DCF-LS,85536.14269804276,10275.541844917698,5,33847.93843582894,11164.231647909408,5,2.7806814975063325,0.34556341638230564,5,0.501649654228355,0.15699111774864688,5,0.22633169999992334,0.024567587594783235,5,0.02800641999990603,0.0065691846881770575,5,0.00667986000005385,0.0014084943745182401,5,42,0.0,5,4595.362014175915,4992.796176255986,0.15454065791357996,0.07020856222992963,0.010986959181023173,0.0029378287039029316,0.0006298978334697664,0.0
real_atp1d,ATP1d,MO-RF,27613.136136962254,7040.865086743602,5,11358.07515888694,5695.840047103274,5,0.9263595423487525,0.16229481662362386,5,0.8342358415789046,0.04612179407319597,5,1.7458278199999995,0.23985155940611586,5,0.0,0.0,5,1.7458278199999995,0.23985155940611586,5,0,0.0,5,3148.7705908727294,2547.257106857705,0.07258044847325716,0.02062629335838262,0.10726487826828082,0.0,0.10726487826828082,0.0
real_atp1d,ATP1d,MO-Ridge,53693.103533307694,12602.464200055358,5,23618.868405318826,7365.547241987348,5,1.8063855279112744,0.5245542339791379,5,0.6897151631355842,0.03957810108504603,5,0.010150859999998828,0.0014057248390230849,5,0.0,0.0,5,0.010150859999998828,0.0014057248390230849,5,0,0.0,5,5635.993327066258,3293.97286491396,0.23458778501253646,0.01769986488930422,0.0006286592595431133,0.0,0.0006286592595431133,0.0
real_atp1d,ATP1d,PLS,32448.891441351578,7677.947888648691,5,11367.975998887938,6346.6918199491865,5,1.1437189071017047,0.1825628351578646,5,0.7940960710606602,0.05400595171122489,5,0.02476667999997062,0.007367132163690854,5,0.0,0.0,5,0.02476667999997062,0.007367132163690854,5,0,0.0,5,3433.682681343892,2838.3268683296474,0.08164458191561474,0.024152195843173987,0.003294681663447571,0.0,0.003294681663447571,0.0
real_atp1d,ATP1d,SC-DCF-LS,85536.14269806018,10275.5418448746,5,33847.93843585205,11164.23164785836,5,2.78068149750623,0.3455634163812349,5,0.5016496542282705,0.15699111774892852,5,0.04627488000000994,0.005370945909907664,5,0.006962120000025607,0.004045820060494689,5,0.000980200000003606,0.0002826774398616106,5,42,0.0,5,4595.362014156641,4992.796176233157,0.15454065791310112,0.07020856223005559,0.0024019600316055995,0.001809345735999687,0.00012641719424723403,0.0
real_atp1d,ATP1d,kNN,40889.95501159186,8788.812723701356,5,15614.402003882244,5961.089327608312,5,1.3903066530262702,0.23918692009092773,5,0.7539810231180429,0.05603736264428428,5,0.005204300000013973,0.00302159660362414,5,0.0,0.0,5,0.005204300000013973,0.00302159660362414,5,0,0.0,5,3930.4765383422614,2665.8801912961394,0.10696764253042491,0.0250606704304854,0.0013512990812572128,0.0,0.0013512990812572128,0.0
real_atp7d,ATP7d,Independent DCF-LS,262123.95072222283,397881.2769531837,5,205845.05606027722,381895.43960208027,5,17.17425554505258,22.443185258354447,5,-1.946196353105896,3.383364340097812,5,0.18336030000014034,0.03248062284136716,5,0.023169960000018364,0.0065078842052060425,5,0.0057044000000587404,0.0011480330222244286,5,39,0.0,5,177937.91644834782,170788.83264948335,10.036897573860344,1.513086531421485,0.014525776124965866,0.0029104142945075803,0.0005134159756216699,0.0
real_atp7d,ATP7d,MO-RF,18256.595592090394,10886.122426708102,5,6995.170132721282,3474.8170791334537,5,1.5853935552944847,0.8236179730712353,5,0.7363024149712158,0.11633723441528043,5,1.723203199999989,0.18177650479288976,5,0.0,0.0,5,1.723203199999989,0.18177650479288976,5,0,0.0,5,4868.421951500857,1553.9854396639337,0.3683331550555747,0.05202759289337901,0.08129292428584356,0.0,0.08129292428584356,0.0
real_atp7d,ATP7d,MO-Ridge,36676.97128051737,10285.961053939538,5,11682.11472614618,5746.44102749766,5,3.2251371575691614,0.844129020358763,5,0.4388834017131872,0.11391893167259669,5,0.012543679999998858,0.006882119794228762,5,0.0,0.0,5,0.012543679999998858,0.006882119794228762,5,0,0.0,5,4600.021626104837,2569.886553235701,0.3775059742604996,0.050946095028816,0.003077777537838475,0.0,0.003077777537838475,0.0
real_atp7d,ATP7d,PLS,26960.2932619263,4256.361419038858,5,9633.516299501289,3339.708424830454,5,2.4624232333105844,0.4254375973126826,5,0.58363063659737,0.0574267581216092,5,0.0162127000000055,0.0033338415686637924,5,0.0,0.0,5,0.0162127000000055,0.0033338415686637924,5,0,0.0,5,1903.5026939556708,1493.5630125899283,0.19026147755506803,0.02568202697747126,0.0014909392747493545,0.0,0.0014909392747493545,0.0
