n,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
150.0,SC-DCF-LS,0.044850205572148194,0.010837011823117344,3,0.030417825014958173,0.0046971847295342,3,0.08983132818497747,0.03631860329722603,3,0.9492589778684443,0.014132797123057591,3,0.000925033333336008,0.00020750012850177785,3,,,0,,,0,8,0.0,3,0.006256751693287956,0.00271192086802997,0.02096855539024468,0.00815957422339967,0.00011980025504738338,,,0.0
150.0,direct max-feature SC-DCF,0.10039777284026509,0.029130164832890548,3,0.08462051778343305,0.028331316671869233,3,0.16429509883438395,0.017823365818733946,3,0.9031817611516045,0.02076403835009844,3,0.8273633333333237,0.08480408926960738,3,,,0,,,0,8,0.0,3,0.01681830850780753,0.016357093307000234,0.01029032505331122,0.011988123130893046,0.048961663768188876,,,0.0
150.0,kNN,0.07124082172030487,0.03953456506435319,3,0.04787953709382409,0.03542523486539267,3,0.14825226747767928,0.09380525925477119,3,0.9176297778270825,0.042273435404999976,3,0.0016148999999738105,0.00035515583906276557,3,,,0,,,0,0,0.0,3,0.02282529178219909,0.020452768885640172,0.05415849168214478,0.024406579310646995,0.00020504931928715513,,,0.0
300.0,SC-DCF-LS,0.04961064528311585,0.013572960308170281,3,0.03422362250993644,0.01462448468283146,3,0.09502274274409801,0.01842876503728851,3,0.9485582114533114,0.006677603475105543,3,0.0012674666666043777,0.0007355364051267344,3,,,0,,,0,8,0.0,3,0.007836352287622219,0.008443450168392302,0.010639852455110885,0.0038553161638937663,0.0004246621414986898,,,0.0
300.0,direct max-feature SC-DCF,0.07332449283642727,0.0134974558470313,3,0.04993120749984048,0.010905659994293495,3,0.14148929617423847,0.026648704994460856,3,0.9228468858678122,0.0172396972702312,3,1.2078485000000303,0.0619867736415638,3,,,0,,,0,8,0.0,3,0.00779275976665861,0.006296385733395882,0.0153856370021069,0.00995334385971564,0.03578808044815326,,,0.0
300.0,kNN,0.05552152892627924,0.025955728845695504,3,0.03463845740668795,0.020184313009899774,3,0.11328892505642141,0.04361803926622249,3,0.9385804177621607,0.019549360260608606,3,0.0019032999999808453,0.0007316860255696232,3,,,0,,,0,0,0.0,3,0.014985547036075235,0.0116534185496733,0.025182886711877225,0.011286828408947352,0.00042243912382490935,,,0.0
