method,total_time,afpc_time,fit_time,K,cover_radius,active_pieces,summed_mse,max_coord_mse,std_summed_mse,avg_r2,experiment,n,m,rep,d,q,dict_time,estimated_peak_array_mib,coord_count_measured,timing_note,corr,dataset,config,center_rule,feature_mode,max_k,single_afpc_time,projected_afpc_time,actual_repeated_afpc_time,actual_projected_ratio
Independent DCF-LS,0.07309430000000017,0.011395999999999962,0.00927509999999998,41,1.4552165068693357,41.0,0.12544728246141,0.02875238429787862,0.22356542581064762,0.9552894371838491,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
kNN,0.029178700000000113,0.0,0.029178700000000113,0,,0.0,0.15307916555027726,0.03954444247729413,0.26740261772647794,0.9464766917266558,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
MO-RF,0.26945359999999985,0.0,0.26945359999999985,0,,0.0,0.14811555115662314,0.035172233805280756,0.26310841595197676,0.947373163768335,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
MO-Ridge,0.00237770000000026,0.0,0.00237770000000026,0,,0.0,1.7317510047831175,0.6503123496825978,2.774042915125819,0.4426524460887965,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
PLS,0.016885300000000214,0.0,0.016885300000000214,0,,0.0,1.7382242394623795,0.6520781695854634,2.7846241155313205,0.4405373924072181,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.017590900000000076,0.0025157000000000096,0.0018089999999997275,41,1.470822425701198,41.0,0.1287501223234151,0.027682939737033122,0.2329752955687879,0.9538303007977025,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.08186370000000087,0.011923499999999976,0.008410100000000753,41,1.470822425701198,41.0,0.12875012232341962,0.02768293973703259,0.2329752955687953,0.953830300797701,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
kNN,0.03153739999999994,0.0,0.03153739999999994,0,,0.0,0.1656501637094973,0.042059699789873006,0.2914807533572966,0.9422890544074539,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
MO-RF,0.30002960000000023,0.0,0.30002960000000023,0,,0.0,0.14533839288144504,0.0318475423683812,0.2601906940617649,0.9484366334464875,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
MO-Ridge,0.001343799999999895,0.0,0.001343799999999895,0,,0.0,1.7948466637112988,0.6798103699195124,2.892069797722923,0.42957252058437556,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
PLS,0.01636520000000008,0.0,0.01636520000000008,0,,0.0,1.7998154092181358,0.6814573021899826,2.900271587590755,0.42795461302087795,rate,2500.0,5,2.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.014416100000000043,0.0022830999999996493,0.0017072000000002419,41,1.512103627283672,41.0,0.1268252294319545,0.02905981427231252,0.22416151826964206,0.9549005827239496,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.07322380000000184,0.011821000000000303,0.007871400000000861,41,1.512103627283672,41.0,0.12682522943196647,0.029059814272314428,0.22416151826966257,0.9549005827239456,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
kNN,0.028249599999999653,0.0,0.028249599999999653,0,,0.0,0.15556974329241147,0.04152887666872223,0.26921700602002013,0.9455582297369036,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
MO-RF,0.42517989999999983,0.0,0.42517989999999983,0,,0.0,0.14529170965569413,0.03533995669747047,0.25595253813625063,0.9484543050542081,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
MO-Ridge,0.003330000000000055,0.0,0.003330000000000055,0,,0.0,1.7240860144292165,0.6355374333340884,2.7355725487588525,0.43879543397213183,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
PLS,0.03576390000000007,0.0,0.03576390000000007,0,,0.0,1.729963438440421,0.6380426375565387,2.7448807315274326,0.43688019175911563,rate,2500.0,5,3.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.02942300000000042,0.003537699999999866,0.0037701000000005536,41,1.5410878650886672,41.0,0.1281931522870633,0.028540059189026783,0.22825319145024495,0.9527152955735406,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.09605899999999945,0.015068799999999882,0.008802999999998562,41,1.5410878650886672,41.0,0.12819315228706943,0.028540059189026846,0.22825319145025294,0.9527152955735391,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
kNN,0.0341193999999998,0.0,0.0341193999999998,0,,0.0,0.1585760292483337,0.04055115322198916,0.2780215876246231,0.9423587892380233,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
MO-RF,0.4159999999999995,0.0,0.4159999999999995,0,,0.0,0.15395003590091008,0.03652502045071213,0.27182248590309815,0.9436537267248294,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0015189000000006558,0.0,0.0015189000000006558,0,,0.0,1.6812082951118745,0.6030524634479676,2.722042863852652,0.4333232940928931,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
PLS,0.018633900000000203,0.0,0.018633900000000203,0,,0.0,1.685181281984238,0.6038126051627073,2.7287053116324955,0.4319541885176596,rate,2500.0,5,4.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.03281039999999891,0.0035834999999995176,0.003873699999999758,41,1.4474701876290943,41.0,0.1332126337887486,0.030708493235429037,0.23952974381377556,0.9529734874462072,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.10245190000000015,0.018645599999999263,0.011713100000000587,41,1.4474701876290943,41.0,0.13321263378870776,0.030708493235424027,0.23952974381370948,0.9529734874462201,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
kNN,0.02964760000000055,0.0,0.02964760000000055,0,,0.0,0.1613222260623168,0.04222666146224202,0.2858338411580232,0.9437964052745095,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
MO-RF,0.3671199999999999,0.0,0.3671199999999999,0,,0.0,0.14473873898846662,0.03377132450655309,0.26021463133976197,0.9489070276439945,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0015971999999999653,0.0,0.0015971999999999653,0,,0.0,1.728012149222127,0.6465541733387878,2.8393860258184986,0.43884026726450537,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
PLS,0.025352199999999492,0.0,0.025352199999999492,0,,0.0,1.7329209371508052,0.6471880553132178,2.8474327001715833,0.4372688939531539,rate,2500.0,5,5.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.1101637000000002,0.012273000000000422,0.023626000000000147,58,1.2503625714519426,58.0,0.12515247908261176,0.02677646754396156,0.2260835839543812,0.9564943024178405,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.21234450000000038,0.030106499999999592,0.017891100000000826,58,1.2503625714519426,58.0,0.12515247908261487,0.02677646754396397,0.22608358395438707,0.9564943024178392,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
kNN,0.15492300000000014,0.0,0.15492300000000014,0,,0.0,0.14620876493159174,0.03532835258410953,0.2612358351564058,0.9496527837256903,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
MO-RF,1.0756161999999998,0.0,1.0756161999999998,0,,0.0,0.14160065303346436,0.03113344887060009,0.2546597576889706,0.9509817486391657,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0031874999999992326,0.0,0.0031874999999992326,0,,0.0,1.790015942964694,0.6572003765235157,2.9291543846743124,0.4322066117027356,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
PLS,0.042296200000000006,0.0,0.042296200000000006,0,,0.0,1.7911423729955058,0.6575193373254935,2.9311061403921834,0.43182646788862744,rate,5000.0,5,0.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.06706340000000033,0.007738400000000034,0.004839600000000388,58,1.2370985905545726,58.0,0.12299461874823242,0.02666029881314176,0.22122756805591126,0.9562230532988056,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.21793270000000042,0.03232000000000124,0.022665999999999187,58,1.2370985905545726,58.0,0.12299461874823485,0.026660298813141234,0.22122756805591834,0.9562230532988043,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
kNN,0.12288740000000153,0.0,0.12288740000000153,0,,0.0,0.14155500693566703,0.034205207898290894,0.25199873231946107,0.9501031156939485,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
MO-RF,0.6636746000000002,0.0,0.6636746000000002,0,,0.0,0.13904185483233317,0.030993686266878522,0.2490923283031523,0.9506929381716424,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0020412000000007424,0.0,0.0020412000000007424,0,,0.0,1.7265652322805594,0.6266392815724625,2.8103178175250267,0.4387028026997014,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
PLS,0.01837740000000032,0.0,0.01837740000000032,0,,0.0,1.728125752742984,0.6270723234511717,2.812916571794747,0.43818589922084084,rate,5000.0,5,1.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.04913190000000078,0.006753800000000254,0.0036935000000006823,58,1.2522457807335519,58.0,0.12095174469071761,0.025302760052708866,0.214597923713964,0.956556076816323,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.25378410000000073,0.028811499999999768,0.023865299999998868,58,1.2522457807335519,58.0,0.12095174469072952,0.025302760052705715,0.21459792371397785,0.9565560768163202,rate,5000.0,5,2.0,,,,,,,,,,,,,,,,
